Horse,HighestLevel,CDI,USDFNumber,Sire,Damsire,Country,Breeder,Studbook,InternationalTeam,TeamMade,AverageGP,FirstYear,LastYear
Rosabella,Third Level,No,37232,Rohdiamant,Watzmann,Germany,Kerstin Ohlemeyer,Hanoverian,No,NULL,NULL,2001,2007
Favereux,Grand Prix,No,38714,Fidermark,Fidelio,Germany,Johannes Hilgers,Rhinelander,No,NULL,60.818,2001,2013
Devon,Third Level,No,38984,Don Gregory,NULL,NULL,NULL,Oldenburg,No,NULL,NULL,2001,2023
Welfenstein,Grand Prix,Yes,40474,Wolkenstein II,Lauries Crusador xx,Germany,Heinz Bruns,Hanoverian,No,NULL,61.542,2001,2015
R-tistik,Grand Prix,Yes,37123,Ramires,Rex Fritz,Germany,Josef Kathmann,Oldenburg,No,NULL,61.491,2001,2014
Pampero,FEI 5 Year Old,No,41386,Ferro,NULL,USA,Margaret Avery,KWPN,No,NULL,NULL,2002,2003
Oleander,Grand Prix,Yes,35062,Jazz,Ulft,Netherlands,R. Van Wourdenbergh,KWPN,No,NULL,64.122,2000,2013
Freestyle,Prix St. Georges,No,39380,Florestan I,Parademarsch I,Germany,NULL,Westfalen,No,NULL,NULL,2002,2005
Wincenzo,Prix St. Georges,No,1026740,Werther,Graphit,Germany,NULL,Hanoverian,No,NULL,NULL,2002,2007
Olympus,Grand Prix,Yes,42683,Clavecimbel,,Netherlands,G. Van Der Veen,KWPN,No,NULL,67.532,2002,2009
Beemer,Grand Prix,Yes,1003181,Laudatio,Aldatus Z,Germany,Gestut Lewitz,Oldenburg,No,NULL,66.26,2003,2014
Remy Martin,Fourth Level,No,47167,Inferno,Rex Magna,Netherlands,P. Rijnen,KWPN,No,NULL,NULL,2003,2015
Fabrice S,Grand Prix,Yes,42782,Fabriano,Woermann,Germany,Gotthard Elsner,Hanoverian,No,NULL,61.836,2002,2021
Persimmon ISF,Prix St. Georges,Yes,38459,Contango,Road At Sea xx,USA,Iron Spring Farm,KWPN,No,NULL,NULL,2002,2005
Royal Prince,Prix St. Georges,No,1016896,Rohdiamant,Prince Thatch xx,Germany,Fredi Schofer Bissendorf,Hanoverian,No,NULL,NULL,2004,2010
Sir Sinclair,Prix St. Georges,No,1015413,Lord Sinclair,Flemmingh,Netherlands,Monica Drohm,KWPN,No,NULL,NULL,2004,2008
Donnervogel,I-2,Yes,1008832,Donnerhall,Ex Libris,Germany,Dr. Med. J. Hartmann,Oldenburg,No,NULL,NULL,2004,2018
Saint Simmon,I-1,No,37280,Rafurstinels,Goodtimes,USA,Kim Jackson,Rhinelander,No,NULL,NULL,2003,2012
